r,m,phi,p
6.931000000000649,1.03429234279803,0.15420159286868926,0.000014645012488247866
6.93200000000065,1.0345322267158283,0.15423408844118475,0.000014631631577713577
6.93300000000065,1.0347720661142856,0.15426658208753455,0.000014618258011005623
6.93400000000065,1.035011860951925,0.15429907380548957,0.000014604891787273255
6.935000000000651,1.0352516111872734,0.15433156359280115,0.00001459153290566407
6.936000000000651,1.0354913167788622,0.15436405144722104,0.00001457818136532401
6.937000000000651,1.0357309776852268,0.15439653736650147,0.000014564837165397357
6.938000000000652,1.0359705938649069,0.15442902134839503,0.000014551500305026743
6.939000000000652,1.0362101652764462,0.1544615033906548,0.00001453817078335315
6.940000000000652,1.0364496918783925,0.15449398349103421,0.000014524848599515898
6.941000000000653,1.036689173629298,0.15452646164728723,0.000014511533752652664
6.942000000000653,1.0369286104877191,0.15455893785716818,0.000014498226241899471
6.943000000000653,1.037168002412216,0.15459141211843183,0.000014484926066390692
6.944000000000654,1.0374073493613538,0.15462388442883337,0.00001447163322525905
6.945000000000654,1.037646651293701,0.15465635478612846,0.000014458347717635624
6.946000000000654,1.0378859081678309,0.15468882318807314,0.000014445069542649842
6.947000000000655,1.0381251199423207,0.15472128963242393,0.000014431798699429486
6.948000000000655,1.0383642865757519,0.15475375411693776,0.000014418535187100696
6.949000000000655,1.0386034080267104,0.154786216639372,0.000014405279004787962
6.950000000000656,1.038842484253786,0.15481867719748446,0.000014392030151614136
6.951000000000656,1.0390815152155732,0.15485113578903337,0.000014378788626700424
6.952000000000656,1.0393205008706705,0.15488359241177738,0.000014365554429166388
6.953000000000657,1.0395594411776805,0.15491604706347561,0.000014352327558129954
6.954000000000657,1.0397983360952103,0.15494849974188762,0.000014339108012707403
6.955000000000657,1.0400371855818713,0.15498095044477336,0.000014325895792013383
6.956000000000658,1.040275989596279,0.15501339916989326,0.000014312690895160895
6.957000000000658,1.0405147480970534,0.15504584591500817,0.000014299493321261311
6.958000000000658,1.0407534610428184,0.15507829067787937,0.000014286303069424363
6.959000000000659,1.040992128392203,0.15511073345626858,0.000014273120138758143
6.960000000000659,1.0412307501038396,0.155143174247938,0.000014259944528369114
6.961000000000659,1.0414693261363654,0.1551756130506502,0.000014246776237362103
6.96200000000066,1.0417078564484221,0.15520804986216824,0.000014233615264840304
6.96300000000066,1.0419463409986554,0.1552404846802556,0.000014220461609905278
6.96400000000066,1.0421847797457153,0.15527291750267622,0.000014207315271656956
6.965000000000661,1.0424231726482565,0.15530534832719445,0.000014194176249193637
6.966000000000661,1.0426615196649376,0.1553377771515751,0.000014181044541611993
6.967000000000661,1.0428998207544218,0.15537020397358342,0.000014167920148007064
6.968000000000662,1.0431380758753768,0.15540262879098513,0.000014154803067472265
6.969000000000662,1.0433762849864745,0.15543505160154633,0.000014141693299099382
6.970000000000662,1.0436144480463914,0.1554674724030336,0.000014128590841978574
6.971000000000663,1.043852565013808,0.15549989119321397,0.00001411549569519838
6.972000000000663,1.0440906358474096,0.1555323079698549,0.00001410240785784571
6.973000000000663,1.0443286605058857,0.1555647227307243,0.000014089327329005853
6.974000000000664,1.0445666389479302,0.15559713547359053,0.000014076254107762474
6.975000000000664,1.0448045711322416,0.15562954619622238,0.000014063188193197617
6.976000000000664,1.0450424570175225,0.1556619548963891,0.000014050129584391705
6.977000000000665,1.0452802965624803,0.1556943615718604,0.000014037078280423543
6.978000000000665,1.0455180897258267,0.1557267662204064,0.000014024034280370316
6.979000000000665,1.0457558364662778,0.15575916883979768,0.00001401099758330759
6.980000000000666,1.0459935367425541,0.15579156942780528,0.000013997968188309313
6.981000000000666,1.0462311905133808,0.1558239679822007,0.000013984946094447822
6.982000000000666,1.0464687977374871,0.15585636450075585,0.000013971931300793833
6.983000000000667,1.0467063583736074,0.15588875898124313,0.00001395892380641645
6.984000000000667,1.04694387238048,0.15592115142143537,0.000013945923610383163
6.985000000000667,1.047181339716848,0.1559535418191058,0.00001393293071175985
6.986000000000668,1.0474187603414584,0.15598593017202822,0.000013919945109610775
6.987000000000668,1.0476561342130637,0.15601831647797676,0.000013906966802998594
6.988000000000668,1.0478934612904203,0.15605070073472607,0.000013893995790984353
6.989000000000669,1.0481307415322891,0.15608308294005124,0.000013881032072627487
6.990000000000669,1.048367974897436,0.1561154630917278,0.000013868075646985824
6.991000000000669,1.0486051613446306,0.15614784118753175,0.000013855126513115583
6.99200000000067,1.0488423008326477,0.15618021722523953,0.00001384218467007138
6.99300000000067,1.0490793933202665,0.156212591202628,0.000013829250116906223
6.99400000000067,1.0493164387662708,0.15624496311747457,0.000013816322852671517
6.995000000000671,1.0495534371294488,0.156277332967557,0.000013803402876417062
6.996000000000671,1.0497903883685933,0.15630970075065356,0.000013790490187191053
6.997000000000671,1.0500272924425018,0.15634206646454296,0.000013777584784040089
6.998000000000672,1.0502641493099765,0.1563744301070044,0.000013764686666009163
6.999000000000672,1.0505009589298238,0.15640679167581747,0.00001375179583214167
7.000000000000672,1.050737721260855,0.15643915116876228,0.000013738912281479407
7.001000000000673,1.050974436261886,0.15647150858361936,0.00001372603601306257
7.002000000000673,1.0512111038917373,0.1565038639181697,0.000013713167025929758
7.003000000000673,1.0514477241092337,0.15653621717019478,0.000013700305319117976
7.004000000000674,1.0516842968732052,0.1565685683374765,0.000013687450891662631
7.005000000000674,1.0519208221424858,0.15660091741779725,0.000013674603742597537
7.006000000000674,1.0521572998759148,0.15663326440893982,0.000013661763870954913
7.007000000000675,1.0523937300323356,0.15666560930868756,0.000013648931275765387
7.008000000000675,1.0526301125705966,0.15669795211482418,0.000013636105956057992
7.009000000000675,1.0528664474495506,0.15673029282513393,0.000013623287910860173
7.010000000000676,1.0531027346280553,0.15676263143740146,0.000013610477139197783
7.011000000000676,1.053338974064973,0.15679496794941195,0.000013597673640095087
7.012000000000676,1.0535751657191705,0.15682730235895095,0.000013584877412574761
7.013000000000677,1.0538113095495198,0.15685963466380456,0.000013572088455657893
7.014000000000677,1.054047405514897,0.1568919648617593,0.000013559306768363987
